BW or Color,Budget,Currency,Genre,MPAA,Month of Release,Rating,Runtime,Title,Year
Color,25000000.0,$,Drama,R,September,9.3,142,The Shawshank Redemption,1994
Color,6000000.0,$,CrimeDrama,,March,9.2,175,The Godfather,1972
Color,150000000.0,INR,Drama,,November,9.1,153,Soorarai Pottru,2020
Color,185000000.0,$,ActionCrimeDramaThriller,PG-13,July,9.0,152,The Dark Knight,2008
Color,13000000.0,$,CrimeDrama,,November,9.0,220,The Godfather: Part II,1974
Black and White,350000.0,$,CrimeDrama,,April,9.0,96,12 Angry Men,1957
Color,94000000.0,$,ActionAdventureDramaFantasy,PG-13,December,8.9,192,The Lord of the Rings: The Return of the King,2003
Color,8000000.0,$,CrimeDrama,R,October,8.9,178,Pulp Fiction,1994
Black and White,22000000.0,$,BiographyDramaHistory,R,December,8.9,185,Schindler's List,1993
Color,160000000.0,$,ActionAdventureSci-FiThriller,PG-13,July,8.8,148,Inception,2010
Color,63000000.0,$,Drama,R,October,8.8,151,Fight Club,1999
Color,93000000.0,$,ActionAdventureDramaFantasy,PG-13,December,8.8,171,The Lord of the Rings: The Fellowship of the Ring,2001
Color,55000000.0,$,DramaRomance,PG-13,July,8.8,142,Forrest Gump,1994
Color,1200000.0,$,Western,,December,8.8,142,"The Good, the Bad and the Ugly",1966
Color,94000000.0,$,ActionAdventureDramaFantasy,PG-13,December,8.7,172,The Lord of the Rings: The Two Towers,2002
Color,63000000.0,$,ActionSci-Fi,R,April,8.7,136,The Matrix,1999
Color,25000000.0,$,BiographyCrimeDrama,,September,8.7,146,Goodfellas,1990
Color,18000000.0,$,ActionAdventureFantasySci-Fi,PG,May,8.7,127,Star Wars: Episode V - The Empire Strikes Back,1980
Color,3000000.0,$,Drama,,November,8.7,133,One Flew Over the Cuckoo's Nest,1975
Color,11400000.0,$,ComedyDramaThriller,R,October,8.6,132,Parasite,2019
Color,165000000.0,$,AdventureDramaSci-Fi,PG-13,November,8.6,169,Interstellar,2014
